11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11
11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11
11,9,1,1,1,1,1,1,1,1,1,1,1,1,3,11
11,3,1,3,9,3,3,3,3,3,3,3,3,1,3,11
11,3,1,3,11,2,2,3,3,2,2,11,3,1,3,11
11,3,1,3,7,3,3,3,8,3,3,7,9,1,3,11
11,3,1,3,3,3,3,3,3,3,3,3,3,1,3,11
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11
11,3,1,3,3,3,3,3,3,3,3,3,8,1,3,11
11,3,1,3,2,3,3,3,3,3,2,3,3,1,3,11
11,3,1,3,3,3,3,3,3,3,3,3,3,1,3,11
11,3,1,1,1,1,1,1,1,1,1,1,1,1,3,11
11,3,3,3,3,3,10,3,3,3,3,3,3,3,3,11
 7,3,3,3,3,3, 3,3,3,3,3,3,3,3,3,7
 4,5,4,5,4,5,4, 5,4,5,4,5,4,5,4,5 
 6,6,6,6,6,6,6, 6,6,6,6,6,6,6,6,6
